Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2017-12-08 16:22:20,false,"Washington Running","5.04","526","46:00","150","170","3.3","161","181","9:08","7:05","122","126","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-05 12:56:55,false,"Washington Running","4.06","441","36:10","158","185","3.6","161","182","8:54","7:53","76","85","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-03 10:41:57,false,"Washington Running","6.65","705","1:00:11","156","180","3.6","162","170","9:03","8:04","244","166","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-30 12:35:38,false,"Washington Running","4.52","511","39:27","167","181","4.1","160","170","8:44","8:06","120","132","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-28 12:39:39,false,"Washington Running","4.03","485","35:44","171","185","4.0","160","166","8:53","8:02","64","74","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-23 08:03:03,false,"Sandwich Running","3.11","258","22:49","150","193","3.0","166","187","7:20","6:02","131","131","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-15 12:55:50,false,"Washington Running","5.02","555","44:32","160","185","3.8","162","170","8:53","7:20","99","106","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-12 11:48:14,false,"Washington Running","8.52","878","1:17:25","154","179","3.7","164","182","9:05","7:56","319","292","1.08","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-10 11:42:23,false,"Washington Running","4.02","433","35:34","158","178","3.6","164","176","8:50","7:23","75","77","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-11-09 13:04:13,false,"Washington Running","4.17","449","37:48","158","183","3.7","162","246","9:04","7:20","57","67","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
