,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,activity_date,activity_time
116,running,2017-09-01 15:49:21,False,Washington Running,18.02,"1,643",2:39:28,157,184,3.3,162,249,8:51,7:37,436,446,1.12,2017-09-01,15:49:21
117,running,2017-08-31 18:21:16,False,Washington Running,6.02,582,54:27,147,173,2.9,161,170,9:03,6:44,96,94,1.11,2017-08-31,18:21:16
118,treadmill_running,2017-08-29 18:35:19,False,Treadmill,3.2,--,30:56,--,--,0.0,--,--,9:40,--,--,--,0.0,2017-08-29,18:35:19
119,running,2017-08-28 18:22:22,False,Washington Running,5.5,565,48:51,155,178,3.2,160,242,8:53,7:12,193,170,1.13,2017-08-28,18:22:22
120,running,2017-08-26 07:26:06,False,Quantico Running,7.48,824,1:00:02,177,193,5.0,163,187,8:02,5:08,472,465,1.23,2017-08-26,07:26:06
121,running,2017-08-24 18:07:56,False,Washington Running,1.59,156,14:09,147,168,2.2,160,225,8:53,7:07,13,55,1.14,2017-08-24,18:07:56
122,running,2017-08-23 18:16:38,False,Washington Running,6.02,640,54:00,158,176,3.4,160,183,8:58,7:32,157,153,1.12,2017-08-23,18:16:38
123,treadmill_running,2017-08-21 18:32:00,False,Treadmill Running,2.0,--,19:00,--,--,0.0,--,--,9:30,--,--,--,0.0,2017-08-21,18:32:00
124,running,2017-08-19 08:20:51,False,Washington Running,16.15,"1,756",2:24:22,169,188,4.6,161,172,8:56,7:32,304,294,1.12,2017-08-19,08:20:51
125,running,2017-08-14 18:38:14,False,Washington Running,6.01,649,49:57,169,192,4.1,163,180,8:18,7:36,149,149,1.19,2017-08-14,18:38:14
126,running,2017-08-12 11:39:54,False,Hyde Park Running,10.15,"1,085",1:34:19,159,181,3.4,162,246,9:18,8:03,314,327,1.07,2017-08-12,11:39:54
